AW-5	
nm	
190	3.21445608139
191	3.225720405579
192	3.140511989594
193	2.870820045471
194	2.562164783478
195	2.377749919891
196	2.212988853455
197	2.075078010559
198	1.974071025848
199	1.897458076477
200	1.835542201996
201	1.791149139404
202	1.752088069916
203	1.715438365936
204	1.688497066498
205	1.666526794434
206	1.645233154297
207	1.629848957062
208	1.6104388237
209	1.59446811676
210	1.580351352692
211	1.562567710876
212	1.548295021057
213	1.530193328857
214	1.514273643494
215	1.499763011932
216	1.484800338745
217	1.468901634216
218	1.455667972565
219	1.440629959106
220	1.425960063934
221	1.415794849396
222	1.404012680054
223	1.392819404602
224	1.38419008255
225	1.375887870789
226	1.366158008575
227	1.359990119934
228	1.353143215179
229	1.346019268036
230	1.340043067932
231	1.335399627686
232	1.330156803131
233	1.324934959412
234	1.320148468018
235	1.315402507782
236	1.311089038849
237	1.307328701019
238	1.304284095764
239	1.300775527954
240	1.297856807709
241	1.295182228088
242	1.291042327881
243	1.28876209259
244	1.285972118378
245	1.284904003143
246	1.281448841095
247	1.278296947479
248	1.276105880737
249	1.272362709045
250	1.270877361298
251	1.267809391022
252	1.265110969543
253	1.263566970825
254	1.259543895721
255	1.256140232086
256	1.253296375275
257	1.248429298401
258	1.24565410614
259	1.240728378296
260	1.234922409058
261	1.229538917542
262	1.224830627441
263	1.219379425049
264	1.213804244995
265	1.206324577332
266	1.199390888214
267	1.191579341888
268	1.183861732483
269	1.174611568451
270	1.165714263916
271	1.157491207123
272	1.148142814636
273	1.13866186142
274	1.129666805267
275	1.119895458221
276	1.109355449677
277	1.099792480469
278	1.089093208313
279	1.079565048218
280	1.068956375122
281	1.058748245239
282	1.049825668335
283	1.041518688202
284	1.032329559326
285	1.023874759674
286	1.014841079712
287	1.006477832794
288	0.998639583588
289	0.988890647888
290	0.983385562897
291	0.975423812866
292	0.967384338379
293	0.960835456848
294	0.954151630402
295	0.946198940277
296	0.940361976624
297	0.93373632431
298	0.926612854004
299	0.921498298645
300	0.91503238678
301	0.907951831818
302	0.902740955353
303	0.896572113037
304	0.890487194061
305	0.884863853455
306	0.879772186279
307	0.875216960907
308	0.86998462677
309	0.864999771118
310	0.860506057739
311	0.855162620544
312	0.849503993988
313	0.845680236816
314	0.840813159943
315	0.835787296295
316	0.831551551819
317	0.827447414398
318	0.822513103485
319	0.818674564362
320	0.81439447403
321	0.811019420624
322	0.807109832764
323	0.803693294525
324	0.799855232239
325	0.796719074249
326	0.793432235718
327	0.789752483368
328	0.786981105804
329	0.784049987793
330	0.780869483948
331	0.778483867645
332	0.775370121002
333	0.772786140442
334	0.770992279053
335	0.767513275146
336	0.765960693359
337	0.764344215393
338	0.761727809906
339	0.760171413422
340	0.759219646454
341	0.757109642029
342	0.755642414093
343	0.754793643951
344	0.753767967224
345	0.751948833466
346	0.751276016235
347	0.749642372131
348	0.748460292816
349	0.748267173767
350	0.747165679932
351	0.746193408966
352	0.745422363281
353	0.744223594666
354	0.743227481842
355	0.742224693298
356	0.74175786972
357	0.741307735443
358	0.739691734314
359	0.737983226776
360	0.739236831665
361	0.73708820343
362	0.734368801117
363	0.73347902298
364	0.732395172119
365	0.732819080353
366	0.730815887451
367	0.72785615921
368	0.726057052612
369	0.725260734558
370	0.723257541656
371	0.721601963043
372	0.72177362442
373	0.719761371613
374	0.718667507172
375	0.716397285461
376	0.714566230774
377	0.712869167328
378	0.710641384125
379	0.708790779114
380	0.706033706665
381	0.70426607132
382	0.702167034149
383	0.701177120209
384	0.700589179993
385	0.698741912842
386	0.696734905243
387	0.694560527802
388	0.692885398865
389	0.691500663757
390	0.690245628357
391	0.687570571899
392	0.684907913208
393	0.683282852173
394	0.682759284973
395	0.680936336517
396	0.678790569305
397	0.677070617676
398	0.67520570755
399	0.674270153046
400	0.672876834869
401	0.670643806458
402	0.669490814209
403	0.66895866394
404	0.667500495911
405	0.665867805481
406	0.663151741028
407	0.663239955902
408	0.662747859955
409	0.660974025726
410	0.659871101379
411	0.657797813416
412	0.656144142151
413	0.655500888824
414	0.654916763306
415	0.654349803925
416	0.653170108795
417	0.652378559113
418	0.651332378387
419	0.650986194611
420	0.649500846863
421	0.64830160141
422	0.648499965668
423	0.647093296051
424	0.647805690765
425	0.646245956421
426	0.645642757416
427	0.644888401031
428	0.645168781281
429	0.644646167755
430	0.644129753113
431	0.643572330475
432	0.642745018005
433	0.64311170578
434	0.643650054932
435	0.642988204956
436	0.642892837524
437	0.643033504486
438	0.643786907196
439	0.64400434494
440	0.643602848053
441	0.643515586853
442	0.644346237183
443	0.645436763763
444	0.644030570984
445	0.645414352417
446	0.644891262054
447	0.646553039551
448	0.648342132568
449	0.648658275604
450	0.649383068085
451	0.650634288788
452	0.652084827423
453	0.652277469635
454	0.654740333557
455	0.655149459839
456	0.65770816803
457	0.659795761108
458	0.660830974579
459	0.662278175354
460	0.665046691895
461	0.665853500366
462	0.667356014252
463	0.671621322632
464	0.673020362854
465	0.675582408905
466	0.678930282593
467	0.682147502899
468	0.685460090637
469	0.690330028534
470	0.69309091568
471	0.693634033203
472	0.701856136322
473	0.703637599945
474	0.709445476532
475	0.713563919067
476	0.717602729797
477	0.724931716919
478	0.731438159943
479	0.735198020935
480	0.74236536026
481	0.749851703644
482	0.758061408997
483	0.76341676712
484	0.771611690521
485	0.780879020691
486	0.785940647125
487	0.793481349945
488	0.805863857269
489	0.815789699554
490	0.825646400452
491	0.836731910706
492	0.844316482544
493	0.856558322906
494	0.866956710815
495	0.881642341614
496	0.893135070801
497	0.90539932251
498	0.911366939545
499	0.927519798279
500	0.941291809082
501	0.955903530121
502	0.962154388428
503	0.978791713715
504	0.992761611938
505	1.001398563385
506	1.017825603485
507	1.024099826813
508	1.033691883087
509	1.046168804169
510	1.054022789001
511	1.059960842133
512	1.073926448822
513	1.08039188385
514	1.090811729431
515	1.093088626862
516	1.092999458313
517	1.096977233887
518	1.102956295013
519	1.10485124588
520	1.101347923279
521	1.099587917328
522	1.104679107666
